sentence_id,condition,oci_A_Default,oci_B_Edit_heavy,oci_C_Style_heavy,oci_D_Similarity_heavy,oci_E_Equal_weights
B.train.gold.bea19_007913,fewshot,0.009204395993228946,0.013020866806862232,0.006513974286788934,0.006521056053504572,0.006257490396986968
B.train.gold.bea19_007913,instruction,0.009204395993228946,0.013020866806862232,0.006513974286788934,0.006521056053504572,0.006257490396986968
B.train.gold.bea19_007913,role,0.009204395993228946,0.013020866806862232,0.006513974286788934,0.006521056053504572,0.006257490396986968
B.train.gold.bea19_001618,fewshot,0.012389669826740817,0.01752206603465188,0.008761033017325977,0.00876103301732605,0.008499509643674475
B.train.gold.bea19_001618,instruction,0.012389669826740817,0.01752206603465188,0.008761033017325977,0.00876103301732605,0.008499509643674475
B.train.gold.bea19_001618,role,0.012389669826740817,0.01752206603465188,0.008761033017325977,0.00876103301732605,0.008499509643674475
C.train.gold.bea19_009782,fewshot,0.02485817668352935,0.03539983926662663,0.017699955042470183,0.01770002586078392,0.015099122796084248
C.train.gold.bea19_009782,instruction,0.02485817668352935,0.03539983926662663,0.017699955042470183,0.01770002586078392,0.015099122796084248
C.train.gold.bea19_009782,role,0.02485817668352935,0.03539983926662663,0.017699955042470183,0.01770002586078392,0.015099122796084248
B.train.gold.bea19_001862,fewshot,0.009201521928234724,0.01301895076353275,0.0065111002217947125,0.006514349901851386,0.006253658310328004
B.train.gold.bea19_001862,instruction,0.012798946640331198,0.01771210150872249,0.009211717698411183,0.00992305158651106,0.009045212061794984
B.train.gold.bea19_001862,role,0.009201521928234724,0.01301895076353275,0.0065111002217947125,0.006514349901851386,0.006253658310328004
ABC.train.gold.bea19_018763,fewshot,0.08965307336979458,0.05877152150772618,0.10385629029248561,0.0667303902874948,0.08475046374117973
ABC.train.gold.bea19_018763,instruction,0.08965307336979458,0.05877152150772618,0.10385629029248561,0.0667303902874948,0.08475046374117973
ABC.train.gold.bea19_018763,role,0.08965307336979458,0.05877152150772618,0.10385629029248561,0.0667303902874948,0.08475046374117973
ABC.train.gold.bea19_017069,fewshot,0.030390487340837886,0.03498679284421237,0.027436555858729453,0.023059281102267664,0.024287759870683445
ABC.train.gold.bea19_017069,instruction,0.030390487340837886,0.03498679284421237,0.027436555858729453,0.023059281102267664,0.024287759870683445
ABC.train.gold.bea19_017069,role,0.030390487340837886,0.03498679284421237,0.027436555858729453,0.023059281102267664,0.024287759870683445
ABC.train.gold.bea19_005791,fewshot,0.012393780227701559,0.017524806301959045,0.008765143418286719,0.008770623952901116,0.008504990178288799
ABC.train.gold.bea19_005791,instruction,0.012393780227701559,0.017524806301959045,0.008765143418286719,0.008770623952901116,0.008504990178288799
ABC.train.gold.bea19_005791,role,0.012393780227701559,0.017524806301959045,0.008765143418286719,0.008770623952901116,0.008504990178288799
B.train.gold.bea19_008031,fewshot,0.019936177136587133,0.027494772989172942,0.014337942419359284,0.01551905426890491,0.014551494327479594
B.train.gold.bea19_008031,instruction,0.01676111992834915,0.023010736811772924,0.012095924330659275,0.0132770361802049,0.01232309724782393
B.train.gold.bea19_008031,role,0.019936177136587133,0.027494772989172942,0.014337942419359284,0.01551905426890491,0.014551494327479594
B.train.gold.bea19_004082,fewshot,0.009879857868404692,0.013905957332341715,0.006972044857616854,0.00701017724050885,0.00715810623055463
B.train.gold.bea19_004082,instruction,0.009879857868404692,0.013905957332341715,0.006972044857616854,0.00701017724050885,0.00715810623055463
B.train.gold.bea19_004082,role,0.009879857868404692,0.013905957332341715,0.006972044857616854,0.00701017724050885,0.00715810623055463
A.train.gold.bea19_005257,fewshot,0.016552347618058308,0.022732201871356064,0.011956828720479916,0.013138284290083686,0.012044734167436143
A.train.gold.bea19_005257,instruction,0.018799507129026633,0.026569768903865046,0.01328488445193256,0.013284884451932632,0.01303593431739892
A.train.gold.bea19_005257,role,0.016552347618058308,0.022732201871356064,0.011956828720479916,0.013138284290083686,0.012044734167436143
A.train.gold.bea19_004486,fewshot,0.0060304213218469235,0.008541814895294573,0.004270907447647358,0.004270907447647502,0.0040305366998059245
A.train.gold.bea19_004486,instruction,0.009050639395633005,0.012816060618183607,0.006411368584333658,0.006418045134817365,0.006052481600192379
A.train.gold.bea19_004486,role,0.0060304213218469235,0.008541814895294573,0.004270907447647358,0.004270907447647502,0.0040305366998059245
